Index,X,Y
1,0.504914,0.770302
2,0.552826,0.736659
3,0.60258,0.701856
4,0.641278,0.677494
5,0.687346,0.645012
6,0.744472,0.618329
7,0.792383,0.583527
8,0.860565,0.548724
9,0.915848,0.517401
10,0.982187,0.487239
11,1.037469,0.459397
12,1.100123,0.431555
13,1.170147,0.402552
14,1.234644,0.37935
15,1.29914,0.356148
16,1.359951,0.338747
17,1.431818,0.315545
18,1.505528,0.296984
19,1.581081,0.279582
20,1.671376,0.257541
21,1.756143,0.241299
22,1.835381,0.223898
23,1.905405,0.208817
24,1.997543,0.194896
25,2.087838,0.182135
26,2.161548,0.171694
27,2.257371,0.160093
28,2.342138,0.150812
29,2.428747,0.141531
30,2.507985,0.135731
31,2.601966,0.12761
32,2.677518,0.11949
33,2.7586,0.114849
34,2.83231,0.107889
35,2.915233,0.103248
36,3.003686,0.096288
