Point,J,k
1,0.007523,0.998582
2,0.120554,0.974275
3,0.248743,0.935759
4,0.355485,0.89586
5,0.428652,0.865948
6,0.498833,0.843133
7,0.553675,0.817508
8,0.611608,0.794714
9,0.654233,0.771946
10,0.696887,0.752015
11,0.760945,0.729211
12,0.818848,0.70358
13,0.876767,0.679367
14,0.928576,0.656584
15,0.99571,0.635193
16,1.059737,0.609552
17,1.129918,0.586737
18,1.187867,0.565361
19,1.242784,0.546828
20,1.306796,0.519768
21,1.373944,0.499795
22,1.44411,0.475562
23,1.505181,0.459855
24,1.584532,0.435606
25,1.657834,0.41846
26,1.734169,0.398472
27,1.810518,0.379902
28,1.902176,0.361306
29,1.966339,0.348431
30,2.042718,0.332698
31,2.103819,0.319827
32,2.180183,0.302676
33,2.256608,0.291198
34,2.345234,0.275444
35,2.427768,0.262538
36,2.510301,0.249631
37,2.598987,0.239551
38,2.684628,0.230894
39,2.75799,0.219422
40,2.849739,0.209336
41,2.938441,0.200675
42,3.01491,0.193452
43,3.088363,0.19049
44,3.177065,0.181829
45,3.259673,0.176014
46,3.345298,0.165939
47,3.427937,0.162962
48,3.513592,0.155724
49,3.599292,0.152741
50,3.678854,0.14835
51,3.755368,0.145383
52,3.825714,0.138171
53,3.905306,0.136617
54,3.963435,0.132263
55,4.046058,0.127867
56,4.101171,0.127773
57,4.165363,0.117734
58,4.238846,0.117609
59,4.32147,0.113213
60,4.404123,0.111654
61,4.489778,0.104416
62,4.575478,0.101433
63,4.642823,0.0999
64,4.725476,0.098341
65,4.811146,0.092521
66,4.884644,0.093815
67,4.933558,0.086639
68,4.997825,0.083693
